date,total_views,unique_views
2022-10-11,1,1
2022-10-12,0,0
2022-10-13,0,0
2022-10-14,8,1
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,10,2
2022-10-18,19,5
2022-10-19,18,2
2022-10-20,10,2
2022-10-21,5,2
2022-10-22,0,0
2022-10-23,0,0
2022-10-24,0,0
2022-10-25,0,0
2022-10-26,9,1
2022-10-27,5,1
2022-10-28,1,1
2022-10-29,0,0
2022-10-30,0,0
2022-10-31,0,0
2022-11-01,14,1
2022-11-02,4,1
2022-11-03,0,0
2022-11-04,3,1
2022-11-05,0,0
2022-11-06,2,1
2022-11-07,25,5
2022-11-08,31,3
2022-11-09,16,3
2022-11-10,23,4
2022-11-11,0,0
2022-11-12,0,0
2022-11-13,0,0
